	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1026	11.519259	4.322075	3.229349	0.791538	-0.358042	8.320655	6.387801	-10.739794	16.136896	-6.923916	3.589107	-15.785439	-1.054391	-1.047778	10.337942	-20.368311	15.600748	3.381408	0.464121	3.104804	0.464121	0.464121	0.026415	0.119247	0.125472
1027	10.779490	7.730251	4.856807	-0.914383	-1.464951	8.356616	9.030404	-14.236998	14.564210	-9.091032	4.312946	-14.478292	0.335132	-4.621821	7.358761	-18.549875	35.945889	3.381408	0.464121	2.408979	0.464121	0.464121	0.203340	-0.320935	0.467153
1028	9.882966	6.782259	7.090088	-3.647313	-3.547598	7.569384	12.606752	-15.624020	14.145149	-9.583768	4.022253	-14.341469	2.753008	-8.236652	5.031297	-4.712609	58.568550	3.381408	0.464121	2.395971	0.464121	0.464121	0.424916	-0.145106	0.471753
1029	10.517933	4.188529	10.457676	-6.302867	-7.241553	7.779252	16.580191	-14.870463	14.262126	-9.571745	3.504917	-14.829575	5.003141	-9.455005	2.047356	16.232594	64.078522	3.381408	0.464121	2.150225	0.464121	0.464121	0.334998	-0.319451	-0.414041
1030	10.528595	2.140566	15.118860	-7.869603	-12.915166	8.891512	19.562567	-13.272746	14.280060	-10.626506	2.771547	-15.276519	7.338461	-8.658036	2.779910	28.756710	44.795830	3.381408	0.464121	1.197619	0.464121	0.464121	0.556528	-0.187470	-0.409999
1031	9.249234	0.711123	19.084887	-7.855216	-18.402664	9.799314	20.062639	-12.144992	14.316150	-13.217402	2.402716	-16.681787	8.851580	-7.227358	9.568011	22.016062	21.554173	3.381408	0.464121	0.464121	0.464121	0.464121	0.111474	-0.273959	2.213819
1032	7.477221	-0.416536	20.025253	-7.734679	-19.964230	10.227603	19.095596	-11.789030	14.024512	-15.203904	3.101842	-18.181627	8.018100	-4.881585	17.763699	0.679416	10.337505	3.381408	0.464121	0.464121	0.464121	0.464121	0.289889	-0.143492	0.466836
1033	5.753335	-1.243767	20.147514	-7.493554	-20.156071	8.731493	14.358483	-12.906828	12.883337	-14.764462	4.427830	-18.986034	4.260333	-2.667947	24.521927	-18.630135	10.187860	3.381408	0.464121	0.464121	0.464121	0.464121	0.203315	-0.011114	0.821919
1034	4.545083	-0.708712	19.758825	-5.866558	-20.186638	5.898741	9.228994	-14.124779	11.385072	-12.794772	4.022978	-19.107788	-0.338582	-2.483076	23.589603	-26.950958	12.982090	3.381408	0.464121	0.464121	0.464121	0.464121	0.423935	-0.233508	-1.460796
1035	3.976329	0.678622	16.997200	-4.662618	-19.961760	4.982045	5.961579	-15.197706	10.223994	-11.445180	1.516764	-17.524786	-2.446241	-4.034642	13.832287	-24.720852	14.313258	3.381408	0.464121	0.464121	0.464121	0.464121	0.555331	-0.319427	0.287615
1036	4.833022	1.572810	10.828684	-4.163590	-18.385324	5.799781	5.300533	-15.181682	9.208385	-11.333174	0.096626	-14.910109	-1.101144	-6.179574	5.284396	-15.864897	18.647005	3.381408	0.464121	0.464121	0.464121	0.464121	0.114122	-0.056865	0.296790
1037	7.297392	2.214436	5.350267	-3.069681	-14.726812	6.686516	7.443509	-13.132446	9.280378	-10.493928	2.236827	-13.883508	2.519327	-8.267118	5.317035	-4.338319	26.562687	4.782242	0.464121	0.464121	0.464121	0.464121	0.069747	-0.277680	0.293089
1038	7.928352	4.040558	1.539355	-1.736390	-10.843637	7.034318	10.582022	-9.863650	10.364038	-9.111268	4.031768	-10.870767	6.644283	-9.840298	12.535159	5.022623	32.062923	15.784122	0.464121	0.661619	0.464121	0.464121	0.336675	-0.144005	-0.056681
1039	10.520580	3.026848	0.745655	0.114286	-8.179831	7.060291	12.389116	-7.212021	11.586595	-6.366202	3.988206	-10.480599	9.546575	-8.995456	21.229111	9.468727	29.010305	50.139652	0.464121	1.380110	0.464121	0.464121	0.247235	0.032402	0.121477
1040	11.550271	-1.271662	2.621606	2.199621	-6.949273	7.474450	12.240380	-5.229550	12.499915	-6.963069	7.608293	-12.442123	11.030869	-6.093859	27.505283	10.711222	21.020243	110.070541	0.464121	1.244305	0.464121	0.464121	0.292181	-0.276511	-0.059103
1041	11.975989	-6.016905	5.696644	4.220247	-5.474164	8.368028	10.226058	-3.302684	12.992325	-0.981938	9.978128	-13.742823	11.328679	-1.253413	31.591085	10.191816	13.623716	170.859650	0.464121	0.539380	0.464121	0.464121	0.292376	-0.144541	-0.055510
1042	13.988098	-9.115791	8.434601	5.347683	-3.664431	9.463943	7.349950	-2.463961	13.225513	11.779412	6.079304	-11.656217	8.696633	2.086283	36.230968	10.007284	6.263172	219.747055	0.464121	0.464121	0.464121	0.464121	0.246803	-0.101581	-0.404671
1043	15.669288	-7.506224	10.095027	5.573842	-2.216040	10.952690	4.311996	-3.210558	12.438565	17.841846	0.795151	-8.818234	6.519663	5.208539	41.517586	10.081848	-2.535770	255.714584	0.464121	0.464121	0.464121	0.464121	0.335841	-0.232240	-0.058790
1044	14.768476	-3.981728	10.602731	5.114111	-0.139584	11.520162	-0.040533	-3.671817	12.001536	14.409307	-2.783580	-10.858626	3.999015	8.614402	45.189083	7.356946	-8.222883	287.100006	0.464121	0.464121	0.464121	0.464121	0.425217	-0.057214	-0.403560
1045	12.162467	0.260915	10.804358	3.537810	1.511573	11.490154	-5.653072	-0.299848	12.433797	4.541696	-1.884208	-16.344398	0.587913	9.557541	44.015549	0.686346	-9.836588	318.331238	0.464121	0.643264	0.464121	0.464121	0.069707	-0.012077	-0.054747
1046	12.149907	5.134234	10.997474	0.905890	2.253222	13.031552	-8.461909	3.795996	13.784279	-1.913806	1.702962	-18.802183	-1.764795	8.161093	36.764706	-9.490756	-9.735089	345.681366	0.464121	1.314233	0.464121	0.464121	-0.019182	-0.056048	-0.231663
1047	12.759159	9.686341	10.717591	-2.686874	4.694749	13.630367	-4.488977	2.392479	14.679933	-1.921853	4.977174	-17.370388	-1.834793	4.981887	26.230068	-19.975750	-5.367462	360.795624	0.464121	1.436550	0.464121	0.464121	0.159275	-0.145060	0.120285
1048	12.907462	11.826756	11.194357	-6.401698	6.358551	12.085627	4.457191	-3.895587	14.554629	1.332587	5.868604	-15.573906	-0.915476	-0.120249	15.623936	-25.241968	2.594522	366.046722	0.464121	1.436550	0.464121	0.464121	0.645449	-0.054551	-0.233089
1049	13.057375	13.938923	13.503112	-8.838911	1.030876	10.139439	12.623607	-5.919120	14.549024	2.243043	3.822211	-14.762940	1.861603	-4.077685	9.435963	-22.662075	9.372568	368.563049	0.464121	1.436550	0.464121	0.464121	0.379517	-0.365865	-0.585750
1050	12.656919	15.120435	16.352570	-8.082662	-7.474988	9.061918	16.726974	0.052399	15.333352	-1.014210	1.714058	-13.985592	5.756755	-6.463676	9.665492	-17.289799	12.858327	368.516602	0.464121	1.436550	0.464121	0.464121	0.513287	-0.143130	-0.058124
1051	11.816403	13.517144	18.746286	-5.162887	-12.163447	8.617363	17.219147	7.196153	15.760952	-6.458351	1.698095	-13.016130	8.915425	-9.857455	15.151083	-10.933514	12.222585	366.605621	0.464121	1.436550	0.464121	0.464121	0.113052	-0.187912	1.519168
1052	10.702909	9.643333	19.494593	-1.780623	-11.633701	8.832827	14.852039	8.364678	14.573463	-10.304939	2.356792	-11.742312	11.553142	-14.438212	23.590061	-3.557377	8.213200	366.419098	0.464121	1.436550	0.464121	0.464121	0.557067	-0.542990	-0.763094
1053	9.982016	6.255029	17.183912	2.030861	-6.986208	8.476448	8.956874	4.936255	12.535455	-9.261805	1.425747	-9.688886	13.730497	-18.201897	33.389072	1.691286	2.759827	368.456909	0.464121	1.436550	0.464121	0.464121	0.335019	-0.319703	0.463448
1054	9.937872	5.320891	11.255962	6.030448	-1.202319	7.598669	0.974514	1.296455	9.775323	-4.793519	-0.123029	-7.217814	13.736603	-19.577930	41.676929	7.541232	-2.717394	371.605042	0.464121	1.436550	0.464121	0.464121	0.335796	0.077812	0.295514
1055	10.383940	5.881534	4.652220	9.357480	3.183861	7.581953	-6.596045	0.041179	7.238853	-1.119981	-0.668997	-5.435555	9.499566	-18.416571	46.526653	14.046875	-6.377597	371.373718	0.464121	1.436550	0.464121	0.464121	0.291447	-0.054717	0.468983
1056	10.635062	5.905190	-0.184102	11.425938	4.783005	8.380666	-11.998802	1.203218	6.613460	0.155376	-1.122477	-4.935828	2.616409	-14.364235	47.787083	18.000288	-8.391008	371.109985	0.464121	1.436550	0.464121	0.464121	0.602394	0.033674	-0.055278
1057	10.270513	5.615835	-2.381088	11.325446	4.100004	9.378110	-13.730271	3.153602	7.744617	0.218154	-1.997002	-5.394868	-2.619865	-8.894679	44.712692	19.512373	-9.275305	372.001709	0.464121	1.584329	0.464121	0.464121	0.290192	-0.189650	-0.406948
1058	9.678276	5.821442	-1.664464	8.806130	1.634677	10.115066	-11.192773	3.330644	8.637471	0.772216	-2.293524	-6.027907	-3.522676	-4.304688	39.745747	18.160503	-9.394506	373.696594	0.464121	2.318829	0.464121	0.464121	0.292227	0.121385	-0.579493
1059	9.551284	6.182379	1.883730	4.517377	-1.453141	10.943769	-6.147579	1.688186	8.527036	1.971724	-1.241330	-6.992832	-1.308914	-2.034700	35.499336	12.701427	-8.835537	375.047180	0.464121	3.421775	0.464121	0.464121	0.246031	-0.187741	0.642155
1060	9.742001	5.563964	7.017652	0.225298	-3.262329	11.791915	-1.431848	0.136188	8.362751	2.237615	0.458894	-8.360801	1.570388	-1.842644	31.269896	5.805336	-6.744665	373.685486	0.464121	4.398105	0.464121	0.464121	0.423667	-0.186409	0.289303
1061	9.933825	4.065658	11.897157	-2.592688	-2.364801	11.967119	1.582746	-0.416291	9.002994	0.849924	1.908496	-9.250284	4.125997	-2.353209	26.118126	0.526961	-2.857200	369.371338	0.464121	3.199731	0.464121	0.464121	0.290773	-0.099607	-0.408722
1062	10.165990	2.785470	15.233527	-3.879592	0.392550	11.242525	3.276431	-0.410855	9.941025	-1.083934	2.251839	-9.428781	6.122483	-2.576670	21.155251	-2.658015	1.308863	362.906311	0.464121	2.408979	0.464121	0.464121	0.246990	-0.010911	1.171903
1063	10.211048	1.809814	16.346174	-4.464418	2.477880	10.114587	4.287227	-0.470644	10.550569	-2.245056	1.329286	-9.600627	7.384885	-3.013031	18.055597	-3.784739	3.774945	354.544556	0.464121	2.541092	0.464121	0.464121	0.115722	-0.277178	-0.057993
1064	10.018537	0.466600	15.265346	-4.826151	2.454960	9.186372	4.770862	-0.801819	10.749269	-2.011134	-0.341905	-9.980168	7.935176	-4.219925	16.910927	-3.112952	3.705217	344.286011	0.464121	2.960039	0.464121	0.464121	0.335160	-0.098522	0.642360
1065	9.769981	-0.761667	12.991323	-4.729368	0.896979	8.791788	4.633844	-1.253000	10.785895	-0.826631	-1.636811	-10.160460	8.016274	-6.046187	17.141230	-1.473080	2.017576	332.003906	0.464121	2.837162	0.464121	0.464121	0.512560	0.078565	0.293966
1066	9.761880	-0.810287	10.914005	-3.881708	-0.945794	8.725540	3.918691	-1.669168	10.583157	-0.030575	-1.884500	-9.832561	7.832818	-7.571770	18.346243	0.103799	0.386527	316.919983	0.464121	3.070696	0.464121	0.464121	0.247805	-0.143488	0.819292
1067	9.847060	0.017523	9.542182	-2.501585	-2.021286	8.694203	2.854138	-1.951547	10.153893	-0.127234	-1.606973	-9.153137	7.092389	-7.976751	19.250072	0.407884	-0.507163	298.061920	0.464121	3.381408	0.464121	0.464121	0.422578	-0.408107	0.461747
1068	9.734853	0.989594	8.545608	-1.299621	-2.205191	8.653365	1.709668	-2.078587	9.686014	-0.337461	-1.153611	-8.696121	5.463718	-7.398179	19.964918	-0.075500	-0.756075	277.208557	0.464121	3.381408	0.464121	0.464121	0.646068	-0.097314	0.640811
1069	9.545310	1.934647	7.658509	-0.619971	-2.017949	8.703469	0.597131	-2.022945	9.152349	-0.141445	-0.631827	-8.527487	3.414773	-6.484635	21.247389	-0.041230	-0.665517	258.273621	0.464121	3.381408	0.464121	0.464121	0.337007	0.166462	-0.053609
1070	9.441955	2.684859	6.942872	-0.282732	-1.859692	8.820518	-0.345465	-1.786416	8.815243	0.347685	-0.549278	-8.355615	1.742000	-5.755041	22.893864	0.573702	-0.138105	240.530991	0.464121	3.267538	0.464121	0.464121	0.467845	-0.055112	0.645069
1071	9.362257	3.099522	6.584117	-0.113584	-1.839828	8.924006	-0.771664	-1.445500	8.787410	1.026662	-0.817276	-8.297212	0.596738	-5.350013	24.198341	1.320421	0.716754	221.129807	0.464121	2.766838	0.464121	0.464121	0.646231	-0.320776	-0.234582
1072	9.307408	3.176994	6.638945	-0.021014	-1.979875	8.976448	-0.541075	-1.200913	8.733112	1.628499	-0.921632	-8.521928	-0.094733	-5.243649	24.807695	2.024895	1.134113	202.026077	0.464121	2.408979	0.464121	0.464121	0.380979	-0.143300	0.293158
1073	9.336369	3.087793	7.053191	0.035475	-2.254099	9.033255	0.153143	-1.138677	8.615826	1.785136	-0.833076	-8.884241	-0.113900	-5.291282	24.909252	2.499810	1.010420	184.858734	0.464121	2.408979	0.464121	0.464121	0.557253	-0.010095	-0.232778
1074	9.386485	2.978834	7.711074	-0.013457	-2.510397	9.167116	0.990480	-1.209813	8.702587	1.525816	-0.886216	-9.178048	0.651766	-5.369315	24.682346	2.565823	0.410144	167.741440	0.464121	2.408979	0.464121	0.464121	0.247281	0.209566	0.123627
1075	9.385783	2.571543	8.486192	-0.189455	-2.725965	9.373935	1.711706	-1.294636	9.024091	1.157173	-1.018102	-9.307093	1.888287	-5.415122	24.191357	2.080135	-0.263459	149.709244	0.464121	2.408979	0.464121	0.464121	0.335983	-0.100499	0.295833
1076	9.282023	1.732923	9.185913	-0.441398	-2.991862	9.611018	2.244291	-1.231003	9.277793	0.696498	-0.942491	-9.303202	3.233805	-5.328442	23.159262	1.152033	-0.560416	132.956879	0.464121	2.408979	0.464121	0.464121	0.470203	-0.011408	-0.755778
1077	9.077703	1.016098	9.546594	-0.670297	-3.118293	9.736341	2.633900	-1.075694	9.349718	0.139213	-0.758362	-9.209823	4.514637	-5.212706	21.665802	0.247847	-0.539155	118.796776	0.464121	2.408979	0.464121	0.464121	0.246934	-0.320720	-0.411570
1078	8.923050	0.751809	9.439923	-0.746407	-2.998120	9.588286	3.001227	-1.025035	9.366045	-0.204277	-0.680095	-9.125639	5.414472	-5.144488	20.208534	-0.462692	-0.341850	105.897057	0.464121	2.408979	0.464121	0.464121	0.466530	-0.275122	1.515617
1079	8.892285	0.763022	8.957096	-0.585320	-2.850307	9.173623	3.350315	-1.144144	9.263255	-0.320808	-0.327824	-9.136667	5.658525	-4.797742	18.923656	-0.965664	-0.133272	93.411774	0.464121	2.408979	0.464121	0.464121	-0.018136	-0.146927	-0.753608
1080	8.913698	0.958582	8.357823	-0.173028	-2.754672	8.691638	3.551797	-1.393002	9.018218	-0.244648	0.358714	-9.193766	5.316134	-3.969606	17.837748	-1.065778	0.205920	81.014534	0.464121	2.408979	0.464121	0.464121	0.292611	0.032902	-0.054442
1081	8.931924	1.193099	7.814402	0.303178	-2.697429	8.269392	3.557188	-1.740260	8.800603	0.109119	0.576294	-9.247964	4.539003	-3.288299	16.985228	-0.729609	0.378038	69.217621	0.464121	2.579562	0.464121	0.464121	0.203143	-0.320110	0.991397
1082	8.860500	1.392028	7.418932	0.674264	-2.739916	7.894947	3.426212	-2.079049	8.716558	0.534446	0.348100	-9.200057	3.575469	-3.521980	16.633656	-0.313740	0.313740	58.709328	0.464121	3.513305	0.464121	0.464121	0.423755	-0.187843	-0.760918
1083	8.759489	1.505286	7.291686	0.911077	-2.865955	7.641124	3.330198	-2.320627	8.748093	1.019414	-0.049307	-9.231123	2.801958	-4.181899	16.633656	0.042929	-0.074069	49.265564	0.464121	4.855216	0.464121	0.464121	0.113558	-0.187758	0.817805
1084	8.822032	1.421876	7.437140	0.984475	-2.923365	7.561185	3.387187	-2.437176	8.885763	1.517664	-0.373775	-9.478801	2.303277	-4.316275	16.603525	0.599412	-0.820786	40.795334	0.464121	5.326266	0.464121	0.464121	0.071244	0.031919	-0.578749
1085	9.045119	1.213386	7.746201	0.958892	-2.902062	7.664752	3.643775	-2.404318	9.071712	1.708086	-0.512222	-9.703792	1.970368	-4.084033	16.446081	0.972771	-1.567504	34.146889	0.464121	5.251356	0.464121	0.464121	0.114703	-0.278538	-0.231192
1086	9.235340	1.032205	8.066481	0.864023	-2.759461	7.915684	3.993465	-2.292355	9.200642	1.488906	-0.586428	-9.832721	1.781729	-3.896056	16.283731	1.318015	-2.342336	28.999628	0.464121	4.853212	0.464121	0.464121	0.467944	0.033766	-0.057237
1087	9.181986	0.961287	8.289530	0.640267	-2.438659	8.295506	4.232695	-2.251781	9.211157	1.193489	-0.695087	-9.848901	1.765549	-4.013811	16.462957	1.512150	-3.241174	25.119690	0.464121	4.284112	0.464121	0.464121	0.554904	-0.275473	0.639489
1088	9.083282	0.934358	8.351139	0.317631	-2.117172	8.746932	4.204961	-2.235417	9.106940	1.087811	-0.692762	-9.781375	1.849438	-4.337338	16.836315	1.512150	-4.185697	22.171368	0.464121	3.832532	0.464121	0.464121	0.070153	0.032024	-0.053226
1089	9.000006	0.797588	8.286295	-0.017235	-1.952223	9.029399	3.930636	-2.104046	8.973612	1.111095	-0.729156	-9.712968	2.020373	-4.476503	17.234770	1.512150	-4.907327	18.912573	0.464121	2.936677	0.464121	0.464121	0.292458	-0.010954	-0.230917
1090	8.889334	0.658935	8.160561	-0.439997	-1.999758	9.034767	3.477709	-1.716774	8.953349	1.042122	-0.745559	-9.677811	2.259505	-4.278945	17.752260	1.488063	-5.461748	15.441707	0.464121	2.408979	0.464121	0.464121	0.158417	-0.142782	0.817125
1091	8.755286	0.666680	7.999868	-0.802415	-2.207212	8.805096	2.999945	-1.173151	9.017109	0.837079	-0.708757	-9.599778	2.513524	-4.148017	18.357521	1.369675	-5.670565	12.137208	0.464121	2.408979	0.464121	0.464121	0.379785	-0.320428	0.816323
1092	8.669555	0.699555	7.875900	-0.933220	-2.386924	8.470879	2.693064	-0.737139	9.055377	0.653418	-0.604686	-9.512520	2.722476	-4.154938	18.847609	1.318070	-5.648491	8.522761	0.464121	2.408979	0.464121	0.464121	0.247588	-0.277273	-0.760003
1093	8.616312	0.630625	7.720576	-0.906080	-2.379727	8.167260	2.567655	-0.516845	8.936422	0.531967	-0.437337	-9.368775	2.801692	-4.199818	19.279919	1.691429	-5.470219	6.298696	0.464121	2.408979	0.464121	0.464121	0.514000	-0.100376	-0.405169
1094	8.560614	0.544388	7.568798	-0.697691	-2.074435	8.010558	2.477772	-0.636173	8.733047	0.387024	-0.268149	-9.151451	2.975350	-4.286874	19.279919	2.024665	-4.963389	6.298696	0.464121	2.408979	0.464121	0.464121	0.202655	-0.321817	-0.409708
1095	8.566587	0.661436	7.547433	-0.393258	-1.611946	7.948456	2.380096	-0.967675	8.647589	0.241186	-0.211481	-9.054585	3.349580	-4.329604	19.241808	2.117360	-4.366530	6.347711	0.464121	2.408979	0.464121	0.464121	0.248736	0.032019	-0.578128
1096	8.627456	0.814222	7.564596	-0.045889	-1.104505	8.013333	2.243764	-1.245476	8.731278	0.265398	-0.106906	-9.216730	3.609934	-4.310318	18.967487	1.872139	-3.975125	6.630888	0.464121	2.408979	0.464121	0.464121	0.334906	-0.188730	-0.759377
1097	8.658704	0.790099	7.618504	0.266564	-0.467141	8.206306	1.925976	-1.444443	8.846863	0.515029	-0.114348	-9.453258	3.437706	-4.118483	18.380327	1.746672	-3.476301	6.901957	0.464121	2.408979	0.464121	0.464121	0.336473	-0.323815	-1.106274
1098	8.713386	0.788423	7.709944	0.463781	0.176594	8.501787	1.537493	-1.550277	8.988936	0.702708	-0.195156	-9.485451	3.111305	-3.924618	18.177883	1.512150	-2.900499	6.298696	0.464121	2.408979	0.464121	0.464121	0.247093	-0.143006	0.467071
1099	8.849057	0.779011	7.900973	0.502567	0.736482	8.917055	1.167741	-1.513942	9.075040	0.641512	-0.216474	-9.367291	3.114647	-3.910940	18.463243	1.512150	-2.797466	6.260023	0.464121	2.408979	0.464121	0.464121	0.555057	-0.275595	0.639385
1100	9.001656	0.795878	8.294065	0.404917	1.033728	9.356299	0.878891	-1.223211	9.270859	0.534740	-0.090824	-9.508368	3.118293	-4.038614	19.383539	1.526181	-3.170824	5.921794	0.464121	2.408979	0.464121	0.464121	0.380684	0.077847	-0.054883
1101	9.321388	1.008838	8.702771	0.115725	0.814014	9.731742	0.758761	-0.567359	9.526531	0.614932	-0.028615	-9.969501	2.989944	-4.154425	20.900087	1.640969	-3.518131	4.961398	0.464121	2.408979	0.464121	0.464121	0.600279	-0.098630	1.168939
1102	9.679419	1.471156	9.081820	-0.221091	0.104681	10.064887	0.835340	0.146092	9.716684	0.694515	0.068883	-10.278350	3.133149	-4.089820	23.264374	1.902210	-3.643211	4.001007	0.464121	2.408979	0.464121	0.464121	0.113786	-0.144976	-0.231904
1103	9.847117	1.787234	9.198014	-0.598663	-1.064451	10.317450	1.056848	0.523982	9.783379	0.552191	0.310009	-10.171764	3.391667	-4.437058	25.844835	2.022675	-3.258833	3.068955	0.464121	2.408979	0.464121	0.464121	0.425618	-0.101268	-0.578948
1104	9.850569	1.682700	9.025868	-0.946666	-2.400056	10.374831	1.258207	0.408482	9.745408	0.454674	0.340579	-10.071179	3.324365	-4.830786	28.077929	2.406049	-2.768687	2.408979	0.464121	2.408979	0.464121	0.464121	0.113614	-0.232700	0.292327
1105	9.781530	1.488868	8.681833	-1.254815	-3.721682	10.200355	1.527977	-0.221640	9.720096	0.464093	0.170811	-10.155592	3.055537	-4.623885	29.195976	2.883509	-2.021967	2.408979	0.464121	2.408979	0.464121	0.464121	0.293189	0.032332	-0.578680
1106	9.709043	1.079882	8.182997	-1.390725	-4.854709	9.921873	2.008756	-1.172838	9.742131	0.713005	-0.046304	-10.190738	2.591217	-4.390626	29.099546	3.504768	-1.251221	2.408979	0.464121	2.408979	0.464121	0.464121	0.468805	-0.053701	-0.059690
1107	9.563298	0.215603	7.792167	-1.222079	-5.572384	9.408008	2.677953	-2.215222	9.808380	1.061155	-0.308364	-10.323233	2.031010	-4.160991	27.521381	3.666605	-0.187217	2.408979	0.464121	2.408979	0.464121	0.464121	0.423473	-0.408642	0.989834
1108	9.439348	-0.767323	7.766738	-0.798662	-5.671154	8.766183	3.638588	-3.058730	9.841121	1.327881	-0.539322	-10.544558	1.410632	-3.869902	24.385447	3.299253	1.661554	2.408979	0.464121	2.408979	0.464121	0.464121	0.381341	0.077688	-0.230333
1109	9.346555	-1.723002	8.064653	-0.271932	-5.061928	8.128210	4.952490	-3.554877	9.914151	1.687740	-0.720954	-10.952147	0.796391	-3.324200	19.713322	3.044317	3.233128	2.408979	0.464121	2.408979	0.464121	0.464121	0.247032	-0.189611	0.120256
1110	9.455121	-2.399982	8.649895	0.290163	-3.870066	7.710770	6.578081	-3.620174	10.206645	2.046948	-0.736825	-11.364708	0.593411	-2.787457	14.605042	3.435250	3.971840	2.408979	0.464121	2.408979	0.464121	0.464121	0.381604	0.122052	0.472842
1111	9.669864	-2.585262	9.235144	0.716862	-2.385449	7.469024	8.202896	-3.387655	10.547965	2.290576	-0.619801	-11.681312	0.614324	-2.274176	10.321672	5.204886	4.545457	2.401258	0.464121	2.408979	0.464121	0.464121	0.247241	-0.320133	-0.061226
1112	9.961028	-2.441011	9.819546	0.782013	-1.087998	7.399114	9.380810	-3.055193	10.850542	2.419455	-0.214707	-12.175866	0.747352	-1.827142	8.421216	7.901768	4.807597	2.176489	0.464121	2.408979	0.464121	0.464121	0.469522	-0.054544	0.645215
1113	10.304052	-1.994277	10.369695	0.342876	-0.713833	7.761014	9.753823	-2.800515	11.106684	2.467845	0.335128	-12.397396	1.067182	-1.658867	9.386498	10.716238	5.925676	1.218667	0.464121	2.408979	0.464121	0.464121	0.291512	-0.230779	0.464623
1114	10.666357	-1.264132	10.790507	-0.440241	-1.156966	8.747574	9.218701	-2.680699	11.343576	2.596053	0.730854	-12.726249	1.334700	-1.408074	12.853520	12.556267	6.885703	0.464121	0.464121	2.408979	0.464121	0.464121	0.201933	-0.319752	1.165760
1115	11.229313	-0.793158	11.163950	-1.343192	-1.928937	9.943160	7.933927	-2.836766	11.783915	2.824565	1.003970	-13.141501	1.329132	-1.541848	18.160650	12.689573	7.099029	0.464121	0.464121	2.408979	0.464121	0.464121	0.335630	0.034087	-0.057422
1116	11.811521	-0.602886	11.452075	-2.067250	-2.579804	11.171741	6.368484	-2.951548	12.397614	2.775134	1.153239	-13.622790	1.436391	-1.736161	23.520330	11.795844	6.574991	0.464121	0.464121	2.408979	0.464121	0.464121	0.468309	-0.275419	0.991337
1117	12.228229	-0.494959	11.600550	-2.473866	-2.835158	12.110020	4.867398	-2.875611	12.926568	2.828152	0.917810	-13.998950	1.474436	-1.931242	27.632668	10.161081	5.391583	0.464121	0.464121	2.408979	0.464121	0.464121	0.423058	-0.098755	0.642119
1118	12.501222	-0.598272	11.552342	-2.432497	-2.788041	12.625096	3.858904	-2.687488	13.198474	2.886587	0.860344	-14.265107	1.379226	-2.094141	29.685307	8.019920	3.986137	0.464121	0.464121	3.399111	0.464121	0.464121	0.468158	-0.143182	0.116198
1119	12.461657	-0.786541	11.414542	-2.154236	-2.533598	12.615651	3.459923	-2.688443	13.309521	2.788888	0.651324	-14.328518	1.329205	-2.155168	29.125401	6.214427	2.851389	0.464121	0.464121	9.185002	0.464121	0.464121	0.380119	-0.232176	-0.409759
1120	12.364108	-0.874306	11.194029	-1.853926	-2.375923	12.305101	3.538767	-2.934695	13.436183	2.894592	0.475760	-14.342253	1.182586	-2.276217	27.182026	4.702653	1.806275	0.464121	0.464121	19.851994	0.464121	0.464121	0.158833	0.076561	-1.281625
1121	12.382322	-1.166466	11.035291	-1.808095	-2.524451	11.942721	4.070189	-3.469887	13.430273	3.148482	0.261717	-14.515810	0.735456	-2.399069	24.686443	3.135238	0.963583	0.464121	0.464121	32.604580	0.464121	0.464121	0.467614	-0.230017	1.691054
1122	12.649217	-1.674199	11.044745	-2.159318	-2.806542	11.730168	4.839352	-4.217962	13.764468	3.438621	0.039303	-14.750787	0.116992	-2.402178	22.493570	1.367068	0.015077	0.464121	0.464121	46.503094	0.464121	0.464121	0.380224	-0.365956	-0.584273
