	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
8	9.315893	-2.458676	11.806252	-1.336383	-10.590408	7.031833	8.635553	-2.984438	11.246214	3.708477	-2.341533	-11.616505	3.367568	-1.284621	23.146997	-12.639201	11.438827	130.311066	0.464121	227.744003	0.464121	0.464121	0.422917	-0.186740	1.342548
9	9.537343	-2.692308	12.816463	-0.627921	-11.138669	6.781614	10.635681	-2.695038	11.719554	4.008572	-4.161298	-11.871027	2.565150	-1.575677	23.086966	-12.934309	10.535291	141.020050	0.464121	225.162720	0.464121	0.464121	0.690235	-0.187771	-0.409263
10	9.656608	-2.663987	13.644491	0.370493	-11.332095	7.128483	12.601144	-2.561323	11.933024	2.918150	-4.766227	-12.608562	1.572317	-2.086132	19.654753	-11.986350	8.660037	147.512665	0.464121	222.394608	0.464121	0.464121	0.292003	-0.276720	0.116991
11	9.708544	-2.030584	14.030011	1.557786	-11.386886	7.801615	14.335884	-2.976048	11.242840	1.186775	-3.679798	-13.013785	0.927847	-3.468640	16.968361	-12.049961	6.744602	151.626251	0.464121	218.971924	0.464121	0.464121	0.335982	-0.186991	0.290828
12	9.823140	-1.435036	13.662658	2.702689	-11.579908	8.321164	15.214962	-3.842673	9.909112	0.311487	-1.651687	-12.106023	0.977107	-5.379143	16.520851	-12.781003	4.974040	155.611740	0.464121	215.809662	0.464121	0.464121	0.245715	-0.186764	0.815962
13	9.840584	-1.348776	12.612293	3.483770	-11.383039	8.437700	14.550481	-4.446857	8.916580	0.439436	-0.175601	-9.979545	2.046371	-6.210666	16.524048	-12.214675	2.808542	159.982590	0.464121	212.505569	0.464121	0.464121	0.113047	-0.144084	0.467712
14	9.518040	-1.708023	11.420042	3.747178	-10.167075	8.726318	12.456048	-4.574781	8.862350	0.176640	0.093359	-8.269845	3.945824	-5.030457	16.063650	-9.454152	0.870043	164.261429	0.464121	207.778946	0.464121	0.464121	0.289821	-0.098621	0.817301
15	9.046096	-2.150791	10.244670	3.529384	-8.419776	9.308615	9.549228	-4.772970	9.361014	-0.651526	-0.245796	-8.158875	5.699927	-3.111049	15.780467	-5.237427	-0.131251	168.620056	0.464121	202.668610	0.464121	0.464121	0.290832	-0.143947	-0.584143
16	9.055169	-1.352069	8.893494	3.195387	-6.954194	9.576159	6.461566	-5.367402	9.663970	-0.394345	-0.288583	-9.095827	6.099541	-2.341661	16.509697	-1.339086	-0.223953	172.514816	0.464121	197.734497	0.464121	0.464121	0.513251	-0.275484	0.290139
17	9.458844	0.857171	7.408890	3.060759	-5.948687	9.150696	3.805482	-6.027517	9.438797	1.547634	0.108781	-9.934638	4.781196	-2.822424	18.122648	1.157683	0.766431	175.346893	0.464121	192.169449	0.464121	0.464121	0.468062	-0.187198	-0.060564
