	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d
	LEFT FOOT ON	RIGHT FOOT ON	ANALOGTIME	FRAMES	TIME
	EVENT_LABEL	EVENT_LABEL	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
153			1.026	153	1.026
154			1.03275	154	1.03275
155			1.0395	155	1.0395
156			1.04625	156	1.04625
157			1.053	157	1.053
158			1.05975	158	1.05975
159			1.0665	159	1.0665
160			1.07325	160	1.07325
161			1.08	161	1.08
162			1.08675	162	1.08675
163			1.0935	163	1.0935
164			1.10025	164	1.10025
165			1.107	165	1.107
166			1.11375	166	1.11375
167			1.1205	167	1.1205
168			1.12725	168	1.12725
169			1.134	169	1.134
170			1.14075	170	1.14075
171			1.1475	171	1.1475
172			1.15425	172	1.15425
173			1.161	173	1.161
174			1.16775	174	1.16775
175			1.1745	175	1.1745
176			1.18125	176	1.18125
177			1.188	177	1.188
178			1.19475	178	1.19475
179			1.2015	179	1.2015
180			1.20825	180	1.20825
181			1.215	181	1.215
182			1.22175	182	1.22175
183			1.2285	183	1.2285
184			1.23525	184	1.23525
185			1.242	185	1.242
186			1.24875	186	1.24875
187			1.2555	187	1.2555
188			1.26225	188	1.26225
189			1.269	189	1.269
190			1.27575	190	1.27575
191			1.2825	191	1.2825
192			1.28925	192	1.28925
193			1.296	193	1.296
194			1.30275	194	1.30275
195			1.3095	195	1.3095
196			1.31625	196	1.31625
197			1.323	197	1.323
198			1.32975	198	1.32975
199			1.3365	199	1.3365
200			1.34325	200	1.34325
201			1.35	201	1.35
202			1.35675	202	1.35675
203			1.3635	203	1.3635
204			1.37025	204	1.37025
205			1.377	205	1.377
206			1.38375	206	1.38375
207			1.3905	207	1.3905
208			1.39725	208	1.39725
209			1.404	209	1.404
210			1.41075	210	1.41075
211			1.4175	211	1.4175
212			1.42425	212	1.42425
213			1.431	213	1.431
214			1.43775	214	1.43775
215			1.4445	215	1.4445
216			1.45125	216	1.45125
217			1.458	217	1.458
218			1.46475	218	1.46475
219			1.4715	219	1.4715
220			1.47825	220	1.47825
221			1.485	221	1.485
222			1.49175	222	1.49175
223			1.4985	223	1.4985
224			1.50525	224	1.50525
225			1.512	225	1.512
226			1.51875	226	1.51875
227			1.5255	227	1.5255
228			1.53225	228	1.53225
229			1.539	229	1.539
230			1.54575	230	1.54575
231			1.5525	231	1.5525
232			1.55925	232	1.55925
233			1.566	233	1.566
234			1.57275	234	1.57275
235			1.5795	235	1.5795
236			1.58625	236	1.58625
237			1.593	237	1.593
238			1.59975	238	1.59975
239			1.6065	239	1.6065
240			1.61325	240	1.61325
241			1.62	241	1.62
242			1.62675	242	1.62675
243			1.6335	243	1.6335
244			1.64025	244	1.64025
245			1.647	245	1.647
246			1.65375	246	1.65375
247			1.6605	247	1.6605
248			1.66725	248	1.66725
249			1.674	249	1.674
250			1.68075	250	1.68075
251			1.6875	251	1.6875
252			1.69425	252	1.69425
253			1.701	253	1.701
254			1.70775	254	1.70775
255			1.7145	255	1.7145
256			1.72125	256	1.72125
257			1.728	257	1.728
258			1.73475	258	1.73475
259			1.7415	259	1.7415
260			1.74825	260	1.74825
261			1.755	261	1.755
262			1.76175	262	1.76175
263			1.7685	263	1.7685
264			1.77525	264	1.77525
265			1.782	265	1.782
266			1.78875	266	1.78875
267			1.7955	267	1.7955
268			1.80225	268	1.80225
269			1.809	269	1.809
270			1.81575	270	1.81575
271			1.8225	271	1.8225
272			1.82925	272	1.82925
273			1.836	273	1.836
274			1.84275	274	1.84275
275			1.8495	275	1.8495
276			1.85625	276	1.85625
277			1.863	277	1.863
278			1.86975	278	1.86975
279			1.8765	279	1.8765
280			1.88325	280	1.88325
281			1.89	281	1.89
282			1.89675	282	1.89675
283			1.9035	283	1.9035
284			1.91025	284	1.91025
285			1.917	285	1.917
286			1.92375	286	1.92375
287			1.9305	287	1.9305
288			1.93725	288	1.93725
289			1.944	289	1.944
290			1.95075	290	1.95075
291			1.9575	291	1.9575
292			1.96425	292	1.96425
293			1.971	293	1.971
294			1.97775	294	1.97775
295			1.9845	295	1.9845
296			1.99125	296	1.99125
297			1.998	297	1.998
298			2.00475	298	2.00475
299			2.0115	299	2.0115
300			2.01825	300	2.01825
301			2.025	301	2.025
302			2.03175	302	2.03175
303			2.0385	303	2.0385
304			2.04525	304	2.04525
305			2.052	305	2.052
306			2.05875	306	2.05875
307			2.0655	307	2.0655
308			2.07225	308	2.07225
309			2.079	309	2.079
310			2.08575	310	2.08575
311			2.0925	311	2.0925
312			2.09925	312	2.09925
313			2.106	313	2.106
314			2.11275	314	2.11275
315			2.1195	315	2.1195
316			2.12625	316	2.12625
317			2.133	317	2.133
318			2.13975	318	2.13975
319			2.1465	319	2.1465
320			2.15325	320	2.15325
321			2.16	321	2.16
322			2.16675	322	2.16675
323			2.1735	323	2.1735
324			2.18025	324	2.18025
325			2.187	325	2.187
326			2.19375	326	2.19375
327			2.2005	327	2.2005
328			2.20725	328	2.20725
329			2.214	329	2.214
330			2.22075	330	2.22075
331			2.2275	331	2.2275
332			2.23425	332	2.23425
333			2.241	333	2.241
334			2.24775	334	2.24775
335			2.2545	335	2.2545
336			2.26125	336	2.26125
337			2.268	337	2.268
338			2.27475	338	2.27475
339			2.2815	339	2.2815
340			2.28825	340	2.28825
341			2.295	341	2.295
342			2.30175	342	2.30175
343			2.3085	343	2.3085
344			2.31525	344	2.31525
345			2.322	345	2.322
346			2.32875	346	2.32875
347			2.3355	347	2.3355
348			2.34225	348	2.34225
349			2.349	349	2.349
350			2.35575	350	2.35575
351			2.3625	351	2.3625
352			2.36925	352	2.36925
353			2.376	353	2.376
354			2.38275	354	2.38275
355			2.3895	355	2.3895
356			2.39625	356	2.39625
357			2.403	357	2.403
358			2.40975	358	2.40975
359			2.4165	359	2.4165
360			2.42325	360	2.42325
361			2.43	361	2.43
362			2.43675	362	2.43675
363			2.4435	363	2.4435
364			2.45025	364	2.45025
365			2.457	365	2.457
366			2.46375	366	2.46375
367			2.4705	367	2.4705
368			2.47725	368	2.47725
369			2.484	369	2.484
370			2.49075	370	2.49075
371			2.4975	371	2.4975
372			2.50425	372	2.50425
373			2.511	373	2.511
374			2.51775	374	2.51775
375			2.5245	375	2.5245
376			2.53125	376	2.53125
377			2.538	377	2.538
378			2.54475	378	2.54475
379			2.5515	379	2.5515
380			2.55825	380	2.55825
381			2.565	381	2.565
382			2.57175	382	2.57175
383			2.5785	383	2.5785
384			2.58525	384	2.58525
385			2.592	385	2.592
386			2.59875	386	2.59875
387			2.6055	387	2.6055
388			2.61225	388	2.61225
389			2.619	389	2.619
390			2.62575	390	2.62575
391			2.6325	391	2.6325
392			2.63925	392	2.63925
393			2.646	393	2.646
394			2.65275	394	2.65275
395			2.6595	395	2.6595
396			2.66625	396	2.66625
397			2.673	397	2.673
398			2.67975	398	2.67975
399			2.6865	399	2.6865
400			2.69325	400	2.69325
401			2.7	401	2.7
402			2.70675	402	2.70675
403			2.7135	403	2.7135
404			2.72025	404	2.72025
405			2.727	405	2.727
406			2.73375	406	2.73375
407			2.7405	407	2.7405
408			2.74725	408	2.74725
409			2.754	409	2.754
410			2.76075	410	2.76075
411			2.7675	411	2.7675
412			2.77425	412	2.77425
413			2.781	413	2.781
414			2.78775	414	2.78775
415			2.7945	415	2.7945
416			2.80125	416	2.80125
417			2.808	417	2.808
418			2.81475	418	2.81475
419			2.8215	419	2.8215
420			2.82825	420	2.82825
421			2.835	421	2.835
422			2.84175	422	2.84175
423			2.8485	423	2.8485
424			2.85525	424	2.85525
425			2.862	425	2.862
426			2.86875	426	2.86875
427			2.8755	427	2.8755
428			2.88225	428	2.88225
429			2.889	429	2.889
430			2.89575	430	2.89575
431			2.9025	431	2.9025
432			2.90925	432	2.90925
433			2.916	433	2.916
434			2.92275	434	2.92275
435			2.9295	435	2.9295
436			2.93625	436	2.93625
437			2.943	437	2.943
438			2.94975	438	2.94975
439			2.9565	439	2.9565
440			2.96325	440	2.96325
441			2.97	441	2.97
442			2.97675	442	2.97675
443			2.9835	443	2.9835
444			2.99025	444	2.99025
445			2.997	445	2.997
446			3.00375	446	3.00375
447			3.0105	447	3.0105
448			3.01725	448	3.01725
449			3.024	449	3.024
450			3.03075	450	3.03075
451			3.0375	451	3.0375
452			3.04425	452	3.04425
453			3.051	453	3.051
454			3.05775	454	3.05775
455			3.0645	455	3.0645
456			3.07125	456	3.07125
457			3.078	457	3.078
458			3.08475	458	3.08475
459			3.0915	459	3.0915
460			3.09825	460	3.09825
461			3.105	461	3.105
462			3.11175	462	3.11175
463			3.1185	463	3.1185
464			3.12525	464	3.12525
465			3.132	465	3.132
466			3.13875	466	3.13875
467			3.1455	467	3.1455
468			3.15225	468	3.15225
469			3.159	469	3.159
470			3.16575	470	3.16575
471			3.1725	471	3.1725
472			3.17925	472	3.17925
473			3.186	473	3.186
474			3.19275	474	3.19275
475			3.1995	475	3.1995
476			3.20625	476	3.20625
477			3.213	477	3.213
478			3.21975	478	3.21975
479			3.2265	479	3.2265
480			3.23325	480	3.23325
481			3.24	481	3.24
482			3.24675	482	3.24675
483			3.2535	483	3.2535
484			3.26025	484	3.26025
485			3.267	485	3.267
486			3.27375	486	3.27375
487			3.2805	487	3.2805
488			3.28725	488	3.28725
489			3.294	489	3.294
490			3.30075	490	3.30075
491			3.3075	491	3.3075
492			3.31425	492	3.31425
493			3.321	493	3.321
494			3.32775	494	3.32775
495			3.3345	495	3.3345
496			3.34125	496	3.34125
497			3.348	497	3.348
498			3.35475	498	3.35475
499			3.3615	499	3.3615
500			3.36825	500	3.36825
501			3.375	501	3.375
502			3.38175	502	3.38175
503			3.3885	503	3.3885
504			3.39525	504	3.39525
505			3.402	505	3.402
506			3.40875	506	3.40875
507			3.4155	507	3.4155
508			3.42225	508	3.42225
509			3.429	509	3.429
510			3.43575	510	3.43575
511			3.4425	511	3.4425
512			3.44925	512	3.44925
513			3.456	513	3.456
514			3.46275	514	3.46275
515			3.4695	515	3.4695
516			3.47625	516	3.47625
517			3.483	517	3.483
518			3.48975	518	3.48975
519			3.4965	519	3.4965
520			3.50325	520	3.50325
521			3.51	521	3.51
522			3.51675	522	3.51675
523			3.5235	523	3.5235
524			3.53025	524	3.53025
525			3.537	525	3.537
526			3.54375	526	3.54375
527			3.5505	527	3.5505
528			3.55725	528	3.55725
529			3.564	529	3.564
530			3.57075	530	3.57075
531			3.5775	531	3.5775
532			3.58425	532	3.58425
533			3.591	533	3.591
534			3.59775	534	3.59775
535			3.6045	535	3.6045
536			3.61125	536	3.61125
537			3.618	537	3.618
538			3.62475	538	3.62475
539			3.6315	539	3.6315
540			3.63825	540	3.63825
541			3.645	541	3.645
542			3.65175	542	3.65175
543			3.6585	543	3.6585
544			3.66525	544	3.66525
545			3.672	545	3.672
546			3.67875	546	3.67875
547			3.6855	547	3.6855
548			3.69225	548	3.69225
549			3.699	549	3.699
